event_id,timestamp,user_id,username,department,event_type,auth_method,source_ip,hostname,device_id,session_id,mfa_passed,failure_reason,risk_score,geo_location,hostname_norm,session_id_norm,event_category
IAM00007968,2026-08-13 08:36:28+00:00,EMP12197,qasim.rout20,People Team,FAILED_LOGIN,BIOMETRIC,172.16.58.169,LPT-12197,NA,SID184227,1,account locked,90.0,Punjab,LPT-12197,SID184227,login_failed
IAM00000908,2026-08-31 18:20:13+00:00,EMP12144,krishna.gala53,Brand Team,invalid_credentials,Certificate,,LPT_12144,DEV10044,SID243770,N,,23.0,,LPT-12144,SID243770,login_failed
IAM00013125,,EMP12056,chakradev.ramaswamy82,Legal,DEVICE_REGISTERED,certificate,,LPT_12056,DEV99390,,False,,29.0,Delhi,LPT-12056,,other
IAM00014481,,EMP10317,girik.merchant23,Call Center,AUTH_FAILED,biometric,192.168.70.191,WS-10317,DEV28388,,False,bad token,100.0,Delhi,WS-10317,,login_failed
IAM00001695,2026-09-06 14:22:36+00:00,EMP10795,aditya.nagarajan68,People Team,AUTH_SUCCESS,certificate,192.168.59.37,VDR-10795,DEV34018,SID785493,True,,61.0,Delhi,VDR-10795,SID785493,login_success
IAM00001632,2026-09-07 09:13:06+00:00,EMP11969,theodore.pandya55,Compliance,Successful Login,certificate,,VDR-11969,DEV22580,SID303551,True,,3.0,IN,VDR-11969,SID303551,login_success
IAM00008500,2026-08-23 00:00:00+00:00,EMP11411,zaid.raval52,Brand Team,Login Success,otp,,VDR-11411,DEV96424,,Y,,78.0,PB,VDR-11411,,other
IAM00009796,2026-08-22 06:29:28+00:00,EMP10845,abeer.kashyap41,Ops Team,ACCOUNT_LOCK,password,192.168.119.1,,DEV40924,SID-761290,yes,,93.0,UNKNOWN,WS-10845,SID761290,other
IAM00016398,2026-08-26 14:42:42+00:00,EMP11001,aarush.prashad25,Procurement,LOGIN_SUCCESS,Certificate,,VDR-11001,DEV81188,SID692231,True,NA,92.0,Delhi,VDR-11001,SID692231,login_success
IAM00006344,2026-08-30 13:44:08+00:00,EMP10540,zinal.samra91,Hr Dept,success_login,certificate,192.168.175.195,WS-10540,DEV83284,SID583041,True,NA,81.0,DL,WS-10540,SID583041,login_success
IAM00009028,2026-08-21 00:00:00+00:00,EMP10750,WAZIR.BOBAL30,People Team,LOGON_SUCCESS,sso,104.39.84.130,,DEV41079,SID303611,True,,11.0,IN,LPT-10750,SID303611,login_success
IAM00019876,2026-08-05 06:45:32+00:00,EMP11269,ekavir.kalita10,Fin,Successful Login,Certificate,,WS-11269,,SID558111,Y,,64.0,UNKNOWN,WS-11269,SID558111,login_success
IAM00016832,2026-08-26 23:20:00+00:00,EMP11877,  osha.mani16  ,Supply Chain,Successful Login,MFA,,VDR-11877,DEV51558,,True,,94.0,UNKNOWN,VDR-11877,,login_success
IAM00017893,2026-08-13 00:00:00+00:00,EMP12179,bhavika.naidu97,Business Sales,AUTH_SUCCESS,biometric,,WS-12179,DEV57451,,Y,,52.0,IN,WS-12179,,login_success
IAM00011019,2026-08-02 17:40:34+00:00,EMP11788,yadavi.kaur93,Mktg,SSO_SUCCESS,password,192.168.182.20,LPT-11788,,SID171239,True,NA,100.0,India,LPT-11788,SID171239,login_success
IAM00002644,2026-08-21 08:44:00+00:00,EMP11178,mason.goyal5,Purchase,LOGIN_FAILED,SSO,134.214.48.30,LPT-11178,DEV11424,,False,,100.0,ind,LPT-11178,,other
IAM00018557,2026-09-02 00:45:04+00:00,EMP11559,girish.jayaraman91,Rd,success_login,SSO,192.168.14.231,VDR-11559.corp.local,DEV85650,SID715746,True,NA,24.0,,VDR-11559,SID715746,login_success
IAM00000277,2026-08-17 15:27:14+00:00,EMP10606,hemani.bose33,Ops Team,success_login,PASSWORD,,WS-10606,DEV10025,SID484519,True,NA,78.0,Delhi,WS-10606,SID484519,login_success
IAM00000759,2026-08-27 16:20:33+00:00,EMP11829,,Supply Chain,AUTH_SUCCESS,sso,175.129.29.65,WS_11829,DEV43827,SID105481,True,,4.0,,WS-11829,SID105481,login_success
IAM00004991,,EMP10280,  naksh.wali11  ,IT,LOGIN_SUCCESS,otp,207.18.160.109,WS-10280,DEV59436,SID161473,True,,29.0,PB,WS-10280,SID161473,login_success
IAM00003438,2026-08-30 05:51:48+00:00,EMP10585,  jagdish.reddy67  ,HR,Successful Login,password,56.41.11.203,VDR-10585,NA,SID194230,False,NA,60.0,IN,VDR-10585,SID194230,login_success
IAM00000401,,EMP10340,prisha.venkataraman28,Accounts,AUTH_SUCCESS,certificate,192.168.195.151,VDR-10340,,SID919749,True,,17.0,,VDR-10340,SID919749,login_success
IAM00017849,,EMP12111,CHATRESH.KRISH60,Business Sales,LOGON_SUCCESS,BIOMETRIC,,LPT-12111,DEV47712,SID736536,N,,55.0,Maharashtra,LPT-12111,SID736536,login_success
IAM00010888,2026-08-13 18:35:41+00:00,EMP10912,mohammed_devan20,Operations,LOGON_FAILURE,sso,172.16.186.37,LPT-10912,NA,SID353274,False,,77.0,,LPT-10912,SID353274,login_failed
IAM00005264,2026-08-17 18:54:33+00:00,EMP12505,radhika.bath93,Supply Chain,MFA_FAILED,password,30.115.22.53,LPT-12505,DEV68365,SID357127,True,NA,72.0,UNKNOWN,LPT-12505,SID357127,mfa_failure
IAM00013994,2026-08-17 00:00:00+00:00,EMP12775,AZAD.DARA84,Innovation,MFA_FAILED,otp,192.168.5.2,VDR-12775,DEV18826,,True,unknown user,90.0,PB,VDR-12775,,mfa_failure
IAM00011264,2026-01-09 15:43:28+00:00,EMP10446,arunima.ramaswamy21,It Support,invalid_credentials,biometric,192.168.6.22,LPT-10446.corp.local,DEV73001,SID850207,False,,47.0,,LPT-10446,SID850207,login_failed
IAM00019608,2026-09-07 05:49:00+00:00,EMP10746,oviya.acharya25,HR,success_login,biometric,172.16.228.59,WS-10746,DEV75210,,True,,14.0,India,WS-10746,,login_success
IAM00004561,2026-09-03 06:24:05+00:00,EMP12550,charan.vora9,R&D,LOGON_SUCCESS,sso,,WS-12550,DEV50159,SID685934,Y,NA,99.0,DL,WS-12550,SID685934,login_success
IAM00000365,2026-08-06 23:24:39+00:00,EMP12079,  upasna.choudhary60  ,Call Center,LOGON_FAILURE,biometric,,VDR-12079,DEV67458,SID961370,True,,6.0,Delhi,VDR-12079,SID961370,login_failed
IAM00000883,2026-08-31 13:23:00+00:00,EMP10554,,Ops Team,Login Failed,sso,15.243.10.56,WS-10554,DEV37594,,True,account locked,50.0,Delhi,WS-10554,,login_failed
IAM00005465,,EMP10843,amol.dayal53,Operations,LOGIN_SUCCESS,otp,185.219.137.216,VDR-10843,DEV28423,,True,NA,70.0,,VDR-10843,,login_success
IAM00018271,,EMP12423,PRISHA.MAHAL39,IT,Login Failed,Certificate,,VDR-12423,DEV24383,,N,bad token,19.0,Maharashtra,VDR-12423,,login_failed
IAM00010074,2026-08-26 14:04:32+00:00,EMP12777,yamini.lal74,R&D,AUTH_SUCCESS,mfa,,VDR-12777,,SID190608,True,NA,100.0,India,VDR-12777,SID190608,login_success
IAM00006398,2026-08-01 05:43:00+00:00,EMP10356,samaksh.munshi71,Legal Dept,success_login,biometric,,LPT-10356,DEV64559,,yes,NA,100.0,PB,LPT-10356,,login_success
IAM00007012,2026-06-08 02:27:35+00:00,EMP12061,harish.sura83,IT,LOGON_SUCCESS,biometric,172.16.61.194,lpt-12061,DEV17731,SID983969,True,,48.0,PB,LPT-12061,SID983969,login_success
IAM00014128,2026-08-10 09:14:00+00:00,EMP10781,rohan.wali29,Rd,AUTH_SUCCESS,sso,192.168.32.10,WS-10781,,SID705402,True,,90.0,IN,WS-10781,SID705402,login_success
IAM00003459,2026-08-27 13:30:00+00:00,EMP12353,veda_sidhu82,Business Sales,Login Success,certificate,,VDR-12353,DEV50470,,False,NA,8.0,ind,VDR-12353,,other
IAM00014663,2026-08-17 10:16:23+00:00,EMP10525,sachi_sinha77,It Support,success_login,Certificate,192.168.254.61,LPT-10525,DEV22214,,True,NA,100.0,IN,LPT-10525,,login_success
IAM00014377,2026-08-19 00:03:30+00:00,EMP12579,balveer.nair93,IT,success_login,sso,10.70.53.0,VDR-12579,DEV22006,SID271554,True,,90.0,remote,VDR-12579,SID271554,login_success
IAM00004374,2026-08-29 12:39:01+00:00,EMP12157,vansha.chadha57,Marketing,PRIVILEGE_ESCALATION_REQUEST,mfa,,VDR-12157,DEV50940,,True,,9.0,PB,VDR-12157,,other
IAM00015556,,EMP12197,qasim.rout20,HR,AUTH_SUCCESS,PASSWORD,,LPT_12197,DEV61366,,False,,50.0,remote,LPT-12197,,login_success
IAM00008339,2026-08-13 14:26:18+00:00,EMP10320,  hredhaan.tank29  ,Marketing Dept,SSO_SUCCESS,biometric,,LPT-10320,NA,SID469797,True,,0.0,ind,LPT-10320,SID469797,login_success
IAM00015981,,EMP11232,gaurangi.mistry16,Sales,invalid_credentials,mfa,172.16.177.36,vdr-11232,DEV13019,SID232927,False,,15.0,PB,VDR-11232,SID232927,login_failed
IAM00016222,2026-08-20 22:24:00+00:00,EMP12027,BHAVIKA.MALL58,Mkt,Successful Login,password,,LPT-12027,DEV90481,SID461004,True,NA,9.0,Punjab,LPT-12027,SID461004,login_success
IAM00008614,2026-08-12 00:00:00+00:00,EMP11821,caleb.murty72,Mktg,PRIVILEGE_ESCALATION_REQUEST,certificate,,VDR-11821,DEV38664,,False,NA,79.0,PB,VDR-11821,,other
IAM00019041,,EMP12235,pahal.pingle94,People Team,invalid_credentials,BIOMETRIC,168.224.82.161,VDR-12235,DEV77458,,False,invalid credentials,46.0,PB,VDR-12235,,login_failed
IAM00016213,2026-08-28 01:49:00+00:00,EMP12767,pahal.chokshi86,Finance,Login Success,PASSWORD,197.123.103.243,LPT-12767.corp.local,DEV43629,SID849855,True,NA,92.0,ind,LPT-12767,SID849855,other
IAM00013290,2026-08-24 03:27:56+00:00,EMP11104,JACK.CHACKO10,Marketing,ACCOUNT_LOCK,OTP,163.78.28.61,WS-11104.corp.local,DEV83877,SID-473409,False,,63.0,Maharashtra,WS-11104,SID473409,other
IAM00019419,,EMP11359,gaurika.patla96,HR,LOGON_FAILURE,otp,,LPT-11359,DEV66547,,False,,82.0,PB,LPT-11359,,login_failed
IAM00005379,2026-08-05 06:46:00+00:00,EMP12418,warda.dua80,Marketing Dept,AUTH_FAILED,Certificate,,WS-12418,,SID843137,yes,bad token,2.0,UNKNOWN,WS-12418,SID843137,login_failed
IAM00012904,2026-07-09 20:27:22+00:00,EMP11321,arin.rattan45,Legal,SSO_SUCCESS,Certificate,,lpt-11321,DEV12810,SID859629,True,,13.0,UNKNOWN,LPT-11321,SID859629,login_success
IAM00000582,2026-08-01 09:18:26+00:00,EMP12546,reva.nayak73,IT,AUTH_FAILED,PASSWORD,,WS-12546,DEV38336,SID617454,False,WRONG PASSWORD,100.0,remote,WS-12546,SID617454,login_failed
IAM00019344,2026-09-09 06:57:22+00:00,EMP11846,  chakrika.mohanty20  ,IT,Successful Login,password,172.16.175.219,VDR-11846,DEV25429,SID584977,yes,,81.0,UNKNOWN,VDR-11846,SID584977,login_success
IAM00015925,,EMP12111,chatresh.krish60,Sales,LOGON_FAILURE,BIOMETRIC,,LPT-12111,DEV47712,,False,expired password,90.0,remote,LPT-12111,,login_failed
IAM00006142,2026-09-05 04:05:23+00:00,EMP10251,aarini.memon10,Information Technology,LOGIN_SUCCESS,PASSWORD,192.168.90.247,VDR-10251,DEV18357,SID259499,Y,,40.0,ind,VDR-10251,SID259499,login_success
IAM00009370,2026-08-07 04:33:40+00:00,EMP12604,aachal.balan76,Mktg,Successful Login,certificate,192.168.192.83,VDR-12604,NA,SID342883,True,,10.0,,VDR-12604,SID342883,login_success
IAM00000213,2026-08-31 20:37:04+00:00,EMP10741,LIBNI.BHATNAGAR11,IT,Successful Login,SSO,,LPT-10741,DEV95426,SID124331,yes,NA,38.0,,LPT-10741,SID124331,login_success
IAM00008999,2026-08-07 01:51:54+00:00,EMP10957,gautami.chaudhry72,Innovation,LOGON_SUCCESS,SSO,172.16.197.158,LPT-10957,DEV95078,,True,,,ind,LPT-10957,,login_success
IAM00016908,2026-03-09 15:04:32+00:00,EMP10139,isaac.dugar28,Legal,SESSION_TERMINATED,Certificate,,WS-10139.corp.local,NA,,False,NA,10.0,UNKNOWN,WS-10139,,other
IAM00003394,,EMP10332,ijaya.palla17,Supply Chain,success_login,BIOMETRIC,,WS-10332,DEV99463,SID380484,Y,,98.0,,WS-10332,SID380484,login_success
IAM00003763,2026-08-15 21:28:19+00:00,EMP12937,turvi.garg83,Procurement Team,SSO_SUCCESS,BIOMETRIC,172.16.47.181,LPT-12937,DEV25279,SID486287,Y,NA,59.0,Delhi,LPT-12937,SID486287,login_success
IAM00016155,2026-09-01 14:38:48+00:00,EMP11444,nitesh_dugar65,People Team,LOGIN_SUCCESS,otp,192.168.130.178,WS-11444,DEV85692,,Y,,10.0,,WS-11444,,login_success
IAM00011170,2026-08-12 08:49:33+00:00,EMP11942,hemangini.mand46,IT,MFA_FAILED,OTP,,VDR-11942,DEV78920,,N,,33.0,IN,VDR-11942,,mfa_failure
IAM00009429,2026-09-01 12:35:04+00:00,EMP12848,mekhala.singhal56,Finance,AUTH_FAILED,sso,,WS-12848,DEV71268,SID-992324,False,OTP expired,50.0,,WS-12848,SID992324,login_failed
IAM00010398,2026-08-27 11:07:51+00:00,EMP12325,laban.sankar26,HR,Login Failed,Certificate,,VDR-12325,DEV55332,,False,,17.0,Delhi,VDR-12325,,login_failed
IAM00007301,2026-08-22 13:45:52+00:00,EMP10496,ati.chaudhary14,Marketing,LOGIN_SUCCESS,BIOMETRIC,11.1.136.77,LPT-10496,DEV46899,SID758281,False,NA,98.0,UNKNOWN,LPT-10496,SID758281,login_success
IAM00016325,2026-05-09 16:05:49+00:00,EMP10746,oviya.acharya25,Hr Dept,LOGIN_FAILED,Certificate,172.16.209.153,WS_10746,,,no,expired password,22.0,,WS-10746,,other
IAM00000519,,EMP12913,reyansh.cheema32,Ops Team,LOGON_FAILURE,otp,,WS-12913,DEV52978,,Y,timeout,74.0,IN,WS-12913,,login_failed
IAM00001033,2026-08-01 00:00:00+00:00,EMP10968,raksha_johal11,Supply Chain,SSO_SUCCESS,PASSWORD,192.168.189.173,LPT-10968,DEV65550,SID780067,True,,4.0,Punjab,LPT-10968,SID780067,login_success
IAM00000157,2026-08-22 00:00:00+00:00,EMP10278,david.lad68,Finance,MFA_FAILED,biometric,,VDR_10278,DEV79003,SID373363,False,NA,81.0,UNKNOWN,VDR-10278,SID373363,mfa_failure
IAM00007419,2026-08-31 00:00:00+00:00,EMP10218,jagat_dasgupta98,Support,LOGIN_FAILED,sso,,VDR-10218,DEV99181,SID335882,no,invalid credentials,1.0,DL,VDR-10218,SID335882,other
IAM00010497,2026-08-14 17:19:56+00:00,EMP10212,advaith_agate35,R&D,FAILED_LOGIN,PASSWORD,56.223.243.79,LPT-10212.corp.local,DEV16632,SID302615,False,,80.0,,LPT-10212,SID302615,login_failed
IAM00016239,2026-08-17 11:22:25+00:00,EMP12378,RACHITA.NARAYAN1,Support,LOGON_SUCCESS,sso,,LPT-12378,DEV85191,SID455043,0,NA,100.0,India,LPT-12378,SID455043,login_success
IAM00018740,2026-08-20 19:43:00+00:00,EMP12852,WARINDER.WALI82,R&D,LOGIN_SUCCESS,password,192.168.98.131,LPT_12852,DEV27337,SID878009,1,,13.0,UNKNOWN,LPT-12852,SID878009,login_success
IAM00002341,2026-08-31 00:00:00+00:00,EMP10187,samar.khare6,Sales,LOGON_SUCCESS,Certificate,,WS-10187,DEV77552,SID689073,True,,73.0,Punjab,WS-10187,SID689073,login_success
IAM00016326,2026-09-03 01:47:24+00:00,EMP10114,chatura.dube60,Marketing,Login Failed,biometric,172.16.207.121,LPT-10114.corp.local,DEV67898,,False,bad token,18.0,,LPT-10114,,login_failed
IAM00011419,2026-08-18 15:53:26+00:00,EMP11644,  ayushman.dara8  ,People Team,DEVICE_REGISTERED,sso,172.16.108.117,VDR-11644,DEV80028,,True,NA,55.0,DL,VDR-11644,,other
IAM00010772,2026-08-30 06:15:40+00:00,EMP12844,omaja.mangat18,Sales,AUTH_FAILED,MFA,172.16.28.114,VDR-12844,DEV19253,,False,timeout,68.0,Maharashtra,VDR-12844,,login_failed
IAM00009089,2026-09-06 02:30:00+00:00,EMP12808,ZINAL.KARNIK88,Finance,AUTH_SUCCESS,sso,,,DEV39607,SID473649,True,,74.0,Delhi,WS-12808,SID473649,login_success
IAM00009085,2026-08-17 14:22:23+00:00,EMP10115,anay.prabhu39,Sales,success_login,Certificate,173.152.63.249,ws-10115,DEV23979,,True,,81.0,IN,WS-10115,,login_success
IAM00009746,2026-08-18 15:54:29+00:00,EMP10902,meghana.wali56,IT,FAILED_LOGIN,mfa,192.168.179.13,VDR-10902,,,False,expired password,78.0,India,VDR-10902,,login_failed
IAM00013526,2026-08-01 16:18:13+00:00,EMP12830,jairaj.ben13,Operations Dept,MFA_FAILED,OTP,,WS-12830,DEV79017,,False,invalid credentials,16.0,Delhi,WS-12830,,mfa_failure
IAM00015649,2026-05-08 21:50:05+00:00,EMP12975,  warjas.barman48  ,Business Sales,FAILED_LOGIN,password,,VDR-12975,DEV64598,,False,timeout,5.0,,VDR-12975,,login_failed
IAM00004008,2026-08-05 23:51:04+00:00,EMP10746,oviya.acharya25,People Team,LOGIN_SUCCESS,otp,,WS-10746,DEV75210,,True,,3.0,UNKNOWN,WS-10746,,login_success
IAM00002207,2026-08-25 16:13:43+00:00,EMP11042,chaman.memon27,Finance,SSO_SUCCESS,certificate,,VDR-11042,NA,,Y,,100.0,Delhi,VDR-11042,,login_success
IAM00006711,2026-08-08 00:00:00+00:00,EMP12373,mitali.goel62,Ops Team,LOGIN_SUCCESS,mfa,211.97.202.12,vdr-12373,DEV55579,SID573291,True,NA,84.0,IN,VDR-12373,SID573291,login_success
IAM00009398,2026-08-09 20:04:00+00:00,EMP12778,ethan.babu56,Operations,PASSWORD_RESET,certificate,,LPT-12778.corp.local,DEV97441,,1,,50.0,UNKNOWN,LPT-12778,,other
IAM00012268,2026-08-30 00:00:00+00:00,EMP11662,aishani.dugal36,Sales,SSO_SUCCESS,certificate,172.16.201.238,LPT-11662,DEV68314,SID241447,False,NA,99.0,,LPT-11662,SID241447,login_success
IAM00003544,2026-09-07 06:24:42+00:00,EMP10468,inaya.vala59,Procurement Team,AUTH_FAILED,biometric,172.16.4.22,WS-10468,DEV10568,,N,unknown user,50.0,ind,WS-10468,,login_failed
IAM00016535,2026-08-10 00:49:41+00:00,EMP12418,warda_dua80,Marketing,LOGIN_FAILED,mfa,,WS-12418,DEV59411,,False,invalid credentials,30.0,UNKNOWN,WS-12418,,other
IAM00010319,2026-08-21 12:10:37+00:00,EMP11561,aradhana.sarraf50,It Dept,LOGIN_SUCCESS,sso,199.167.171.168,LPT-11561,DEV28737,,False,,21.0,Punjab,LPT-11561,,login_success
IAM00007409,2026-09-07 12:28:35+00:00,EMP11640,meghana.chana6,Support,Login Success,BIOMETRIC,192.168.115.204,lpt-11640,DEV51670,SID207852,no,,12.0,,LPT-11640,SID207852,other
IAM00012194,2026-08-19 03:04:30+00:00,EMP12583,  pallavi.dhingra3  ,Information Technology,Login Failed,BIOMETRIC,,LPT-12583,DEV91232,,0,bad token,84.0,,LPT-12583,,login_failed
IAM00018701,2026-08-20 14:03:59+00:00,EMP12643,yash.madan58,Legal,Successful Login,PASSWORD,,LPT-12643,DEV11348,,1,NA,20.0,Punjab,LPT-12643,,login_success
IAM00013939,2026-08-08 04:41:00+00:00,EMP12304,hiral.sheth32,Marketing,MFA_FAILED,biometric,,LPT_12304,DEV41573,,True,account locked,93.0,India,LPT-12304,,mfa_failure
IAM00008498,2026-08-18 02:33:31+00:00,EMP10956,  devika.contractor43  ,It Support,LOGON_SUCCESS,SSO,203.59.67.100,LPT-10956.corp.local,DEV89794,SID188027,yes,,100.0,Delhi,LPT-10956,SID188027,login_success
IAM00010607,2026-08-04 05:36:00+00:00,EMP10126,unnati.dass69,Fin,Login Success,sso,172.16.132.252,WS-10126.corp.local,DEV97881,SID283764,True,,100.0,remote,WS-10126,SID283764,other
IAM00014355,2026-08-12 00:00:00+00:00,EMP12650,hemal.sarin58,Information Technology,AUTH_SUCCESS,Certificate,,VDR-12650.corp.local,DEV70735,SID539890,Y,,63.0,PB,VDR-12650,SID539890,login_success
IAM00000446,2026-10-08 19:30:41+00:00,EMP11358,lavanya.pillai59,It Dept,FAILED_LOGIN,SSO,192.168.183.41,ws-11358,DEV44521,,False,wrong_password,1.0,Punjab,WS-11358,,login_failed
IAM00000697,2026-08-18 14:35:52+00:00,EMP10573,alexander.bumb98,Finance,SESSION_TERMINATED,SSO,192.168.29.223,WS-10573,DEV80136,,False,NA,71.0,ind,WS-10573,,other
IAM00006570,2026-08-06 00:00:00+00:00,EMP11892,sudiksha.patil75,Human Resource,invalid_credentials,PASSWORD,,vdr-11892,DEV15269,,no,unknown user,63.0,PB,VDR-11892,,login_failed
IAM00003891,2026-09-07 08:11:42+00:00,EMP11347,shravya.chopra88,Legal Dept,SSO_SUCCESS,mfa,,WS-11347,DEV47104,,True,,50.0,India,WS-11347,,login_success
IAM00003044,2026-09-06 00:00:00+00:00,EMP12777,yamini.lal74,Rd,AUTH_SUCCESS,sso,202.105.20.251,VDR-12777,DEV81246,,False,,70.0,remote,VDR-12777,,login_success
IAM00012467,2026-08-08 19:36:00+00:00,EMP10745,lopa.bali80,Operations,LOGIN_FAILED,otp,,LPT-10745,DEV70845,,False,invalid credentials,55.0,Delhi,LPT-10745,,other
IAM00016256,2026-09-09 00:00:00+00:00,EMP12418,warda.dua80,Marketing Dept,AUTH_SUCCESS,mfa,,WS-12418,DEV59411,SID781413,Y,,7.0,ind,WS-12418,SID781413,login_success
IAM00019549,2026-08-19 02:22:05+00:00,EMP10565,  vidhi.balan53  ,Finance,SSO_SUCCESS,sso,192.168.171.139,LPT-10565,DEV26389,SID512528,True,,66.0,Delhi,LPT-10565,SID512528,login_success
IAM00011225,2026-08-20 03:48:05+00:00,EMP10255,jonathan.sem1,Information Technology,success_login,mfa,,vdr-10255,,SID981443,True,,64.0,Punjab,VDR-10255,SID981443,login_success
IAM00005537,2026-08-20 07:07:25+00:00,EMP12067,qarin.bhagat83,Rd,Successful Login,otp,,WS-12067,,,False,,57.0,PB,WS-12067,,login_success
IAM00005730,2026-08-20 05:06:48+00:00,EMP10785,,Rd,LOGIN_FAILED,password,192.168.247.169,LPT-10785.corp.local,,,False,,68.0,,LPT-10785,,other
IAM00005565,2026-08-28 19:26:00+00:00,EMP10063,ira.tara4,HR,AUTH_SUCCESS,PASSWORD,,WS-10063,DEV33819,,False,,100.0,India,WS-10063,,login_success
IAM00002079,2026-08-21 18:40:45+00:00,EMP10625,dominic.loyal90,Purchase,LOGIN_SUCCESS,certificate,172.16.115.112,WS-10625,DEV95820,SID682182,N,,40.0,DL,WS-10625,SID682182,login_success
IAM00007021,2026-02-09 11:11:54+00:00,EMP10786,gavin.samra37,Accounts,PASSWORD_RESET,BIOMETRIC,,WS_10786,DEV28293,,True,,100.0,Maharashtra,WS-10786,,other
IAM00006867,2026-08-13 00:00:00+00:00,EMP12039,arunima.sridhar65,HR,AUTH_SUCCESS,OTP,,ws-12039,DEV58395,,yes,,37.0,India,WS-12039,,login_success
