log_id,timestamp,hostname,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes_sent,bytes_received,session_id,threat_flag,rule_name,geo_country,hostname_norm,session_id_norm
FW000014665,2026-08-01 11:17:36+00:00,VDR-10718,172.16.24.64,192.168.153.88,,8080.0,TCP,allow,42.0,6638209.0,SID104189,False,BLOCK_EXTERNAL_RDP,China,VDR-10718,SID104189
FW000011605,2026-08-09 09:35:14+00:00,WS-10546,,,3389.0,445.0,tcp,allow,,,SID335655,False,block_tor_exit,China,WS-10546,SID335655
FW000002993,2026-08-26 00:00:00+00:00,WS_10252,,187.147.89.171,,1433.0,TCP/6,allow,36283679.0,45801829.0,SID714560,False,,unknown,WS-10252,SID714560
FW000005101,2026-08-29 21:33:23+00:00,,172.16.127.6,,3389.0,3389.0,ICMP,allow,24.0,46204596.0,,False,block_tor_exit,IN,,
FW000000429,2026-08-07 19:55:08+00:00,lpt-11011,,,,443.0,6,allow,33029976.0,11.0,SID882944,False,UNKNOWN,China,LPT-11011,SID882944
FW000028507,2026-08-28 17:47:03+00:00,LPT-10854,,,445.0,,tcp,deny,19.0,,SID940336,True,,,LPT-10854,SID940336
FW000004161,2026-08-18 23:38:59+00:00,VDR-10482,,172.16.220.49,443.0,8080.0,UDP/17,allow,35.0,46934177.0,SID-670517,False,ALLOW_INTERNAL_DNS,India,VDR-10482,SID670517
FW000007101,2026-08-09 18:46:12+00:00,LPT-11055,192.168.11.62,,3389.0,25.0,6,allow,47.0,1.0,SID538498,False,,CN,LPT-11055,SID538498
FW000022267,2026-08-02 12:14:00+00:00,LPT-10356,,152.71.247.39,8080.0,443.0,6,deny,18652452.0,32388589.0,SID329262,False,,,LPT-10356,SID329262
FW000019303,2026-09-02 00:00:00+00:00,,,,3389.0,,tcp,allow,19202469.0,25842703.0,SID998455,False,ALLOW_INTERNAL_DNS,US,,SID998455
FW000017610,2026-09-06 22:11:38+00:00,LPT-11870,,121.108.104.116,22.0,53.0,1,allow,28163533.0,23915413.0,SID-692608,False,,RU,LPT-11870,SID692608
FW000020256,,WS_11243,,,1433.0,8443.0,UDP,allow,,38452978.0,sid888925,True,ALLOW_INTERNAL_DNS,IN,WS-11243,SID888925
FW000012297,2026-01-09 22:34:04+00:00,VDR-12883,,,3306.0,443.0,tcp,deny,45935403.0,27451.0,SID281899,False,UNKNOWN,India,VDR-12883,SID281899
FW000024319,2026-08-31 08:22:36+00:00,LPT-12158,155.90.72.156,143.107.18.136,135.0,443.0,icmp,allow,3187321.0,17.0,SID364978,False,,unknown,LPT-12158,SID364978
FW000001792,2026-08-23 18:55:00+00:00,WS_12992,,86.97.154.216,3306.0,,6,deny,40.0,34226001.0,SID-691786,False,DENY_TELNET,unknown,WS-12992,SID691786
FW000000897,2026-08-27 02:40:00+00:00,LPT-10909.corp.local,,192.168.136.175,80.0,80.0,TCP,allow,44199203.0,,,False,UNKNOWN,,LPT-10909,
FW000022843,2026-08-01 10:34:33+00:00,VDR-11632,,11.154.83.112,445.0,443.0,1,deny,37401471.0,6807637.0,SID733944,False,UNKNOWN,United States,VDR-11632,SID733944
FW000026906,2026-08-18 23:40:19+00:00,WS-10602,192.168.203.7,80.162.192.16,1433.0,3389.0,TCP,allow,48015126.0,37787701.0,SID867802,False,BLOCK_EXTERNAL_RDP,RU,WS-10602,SID867802
FW000001599,2026-08-31 16:55:26+00:00,VDR-11575,,21.61.48.53,135.0,1433.0,6,allow,16728092.0,,SID477233,False,block_tor_exit,IN,VDR-11575,SID477233
FW000011118,2026-08-08 10:51:12+00:00,WS-11806,,,,53.0,6,allow,3.0,44813546.0,SID563073,False,block_tor_exit,United States,WS-11806,SID563073
FW000002880,2026-08-04 16:32:06+00:00,WS-11564,192.168.202.246,,443.0,3389.0,TCP/6,allow,31032243.0,29371865.0,SID819389,False,BLOCK_EXTERNAL_RDP,United States,WS-11564,SID819389
FW000024131,2026-08-02 11:29:59+00:00,VDR-10231,,175.114.149.222,8443.0,8080.0,TCP,deny,1256036.0,37476384.0,SID898422,False,BLOCK_EXTERNAL_RDP,unknown,VDR-10231,SID898422
FW000009419,2026-09-09 00:00:00+00:00,VDR-12200.corp.local,,172.16.119.167,,1433.0,tcp,allow,10787.0,37170715.0,SID250529,False,DENY_TELNET,US,VDR-12200,SID250529
FW000027731,2026-09-01 04:11:01+00:00,LPT-12755,58.83.187.197,,8080.0,53.0,TCP/6,deny,37747537.0,38.0,SID395360,False,,US,LPT-12755,SID395360
FW000028977,2026-09-07 19:03:07+00:00,WS-10941,,,8080.0,445.0,UDP,allow,1955811.0,48806639.0,SID109124,False,DENY_TELNET,,WS-10941,SID109124
FW000028680,2026-09-01 18:39:12+00:00,VDR-11082,,27.125.234.20,8443.0,,6,allow,14088416.0,27295606.0,SID574481,False,,IN,VDR-11082,SID574481
FW000010945,2026-08-23 01:20:00+00:00,VDR-12017,,192.168.228.127,8080.0,,6,allow,21083845.0,,SID921722,False,DENY_TELNET,ind,VDR-12017,SID921722
FW000028092,2026-08-29 18:21:57+00:00,WS-12037,,,443.0,25.0,tcp,allow,38066762.0,,SID145416,False,ALLOW_INTERNAL_DNS,IN,WS-12037,SID145416
FW000011538,2026-08-25 07:17:24+00:00,WS-10049,172.16.156.49,192.168.181.72,135.0,8443.0,ping,allow,31418.0,18354392.0,SID809607,False,,RU,WS-10049,SID809607
FW000012147,2026-08-07 15:47:00+00:00,LPT-10076,,192.168.106.69,,445.0,tcp,deny,37.0,40.0,SID811306,False,DENY_TELNET,United States,LPT-10076,SID811306
FW000026086,2026-08-09 14:52:46+00:00,,192.168.17.39,,80.0,8080.0,6,deny,48.0,47499231.0,,False,allow_office_apps,IN,,
FW000014162,2026-08-08 04:02:00+00:00,,,,80.0,53.0,TCP,allow,49565083.0,36309.0,SID-708407,False,allow_office_apps,unknown,,SID708407
FW000024683,2026-08-23 00:00:00+00:00,VDR-11343,78.232.212.230,192.168.143.146,,22.0,17,allow,4563739.0,11.0,SID409076,False,allow_office_apps,US,VDR-11343,SID409076
FW000005743,,VDR-10503,,214.211.176.212,8443.0,53.0,TCP,allow,43818265.0,15868370.0,SID457382,True,DENY_TELNET,,VDR-10503,SID457382
FW000004739,2026-09-09 00:00:00+00:00,LPT-12743,172.16.180.233,192.168.221.59,53.0,25.0,tcp,allow,9896265.0,35786415.0,SID772015,False,UNKNOWN,,LPT-12743,SID772015
FW000007199,2026-08-22 22:29:51+00:00,LPT-10437,172.16.102.184,189.240.208.35,443.0,3389.0,TCP/6,allow,18786.0,19563255.0,SID333254,False,BLOCK_EXTERNAL_RDP,,LPT-10437,SID333254
FW000005816,,WS-12447,,,22.0,,6,allow,1.0,43423976.0,,False,allow_office_apps,unknown,WS-12447,
FW000026881,2026-09-09 05:18:45+00:00,LPT-10616,,,135.0,,TCP/6,allow,41248016.0,28485.0,SID950116,False,,ind,LPT-10616,SID950116
FW000011098,2026-08-03 20:11:00+00:00,LPT-11805,,,25.0,1433.0,17,allow,27931877.0,29470677.0,,False,DENY_TELNET,unknown,LPT-11805,
FW000014470,2026-08-07 00:00:00+00:00,WS-10814,86.88.100.11,,443.0,8080.0,1,deny,27.0,8230325.0,SID531136,False,DENY_TELNET,,WS-10814,SID531136
FW000006423,2026-08-21 11:03:00+00:00,WS-11041,214.0.129.63,,445.0,80.0,tcp,allow,32531283.0,15788858.0,SID521609,False,allow_office_apps,unknown,WS-11041,SID521609
FW000018798,2026-08-09 10:25:43+00:00,VDR-12436,172.16.252.155,159.195.194.93,135.0,3306.0,tcp,allow,38.0,17.0,SID706740,False,allow_office_apps,,VDR-12436,SID706740
FW000023495,2026-08-28 18:46:45+00:00,WS-11895,192.168.199.223,172.16.55.96,,25.0,TCP,allow,15625326.0,30746779.0,SID865127,False,DENY_TELNET,,WS-11895,SID865127
FW000013084,2026-09-04 03:08:38+00:00,lpt-12778,,,3306.0,,TCP,allow,49133102.0,,SID-463585,False,DENY_TELNET,,LPT-12778,SID463585
FW000016566,2026-08-21 05:36:16+00:00,WS-12723,10.187.231.0,,8080.0,,UDP/17,deny,33640403.0,494.0,SID585639,False,allow_office_apps,,WS-12723,SID585639
FW000025408,2026-08-11 02:50:49+00:00,WS-10074,,,,445.0,6,allow,8175385.0,,SID851313,False,UNKNOWN,RU,WS-10074,SID851313
FW000019613,2026-08-24 17:14:21+00:00,LPT-11710.corp.local,,172.16.149.204,,22.0,6,allow,25444675.0,21535163.0,SID-623901,False,allow_office_apps,India,LPT-11710,SID623901
FW000007470,2026-08-15 02:57:00+00:00,LPT_11903,,210.6.231.19,,,udp,allow,20639347.0,47857019.0,SID335255,False,allow_office_apps,Russia,LPT-11903,SID335255
FW000022385,2026-08-03 05:29:45+00:00,ws-12204,,,,,TCP,allow,7347.0,41374539.0,SID492908,False,MONITOR_DB_ACCESS,ind,WS-12204,SID492908
FW000023078,2026-08-04 06:22:35+00:00,VDR-12247,192.168.233.252,200.41.66.155,,445.0,tcp,allow,32613263.0,46342016.0,SID702175,False,,,VDR-12247,SID702175
FW000024125,2026-08-03 02:48:11+00:00,LPT-12520,192.168.209.155,172.16.170.74,445.0,8080.0,TCP,allow,35.0,11.0,,False,BLOCK_EXTERNAL_RDP,,LPT-12520,
FW000012478,2026-08-31 12:50:14+00:00,,,,,,tcp,deny,49544779.0,34036638.0,SID588800,False,DENY_TELNET,,,SID588800
FW000003101,2026-09-05 06:33:17+00:00,vdr-11843,,112.28.222.134,22.0,53.0,TCP/6,allow,19547080.0,38.0,,False,ALLOW_INTERNAL_DNS,China,VDR-11843,
FW000015212,,LPT-11627,,,445.0,8443.0,TCP,allow,47729438.0,23535307.0,sid458433,False,ALLOW_INTERNAL_DNS,ind,LPT-11627,SID458433
FW000013372,2026-03-08 16:57:17+00:00,VDR_10631,,172.16.2.114,1433.0,53.0,TCP/6,allow,26006510.0,28163109.0,SID753399,False,block_tor_exit,US,VDR-10631,SID753399
FW000007118,2026-09-03 03:33:10+00:00,LPT-11478,,100.43.85.68,445.0,22.0,udp,deny,16.0,24056436.0,SID-314044,False,,Russia,LPT-11478,SID314044
FW000019700,,WS-12999,192.168.101.233,,25.0,22.0,TCP,allow,28370526.0,,SID850726,False,BLOCK_EXTERNAL_RDP,CN,WS-12999,SID850726
FW000014620,2026-09-05 22:53:09+00:00,LPT-12541,140.175.207.223,50.159.245.89,80.0,135.0,TCP,allow,31.0,44.0,SID582115,False,allow_office_apps,Russia,LPT-12541,SID582115
FW000010325,2026-09-04 01:49:00+00:00,,192.168.148.34,,3389.0,8080.0,tcp,allow,42586323.0,38661404.0,,False,ALLOW_INTERNAL_DNS,ind,,
FW000007754,2026-08-16 20:41:00+00:00,VDR-10743,172.16.97.250,172.16.57.8,3389.0,,TCP/6,deny,9705491.0,3.0,,False,,Russia,VDR-10743,
FW000006290,2026-08-07 01:21:56+00:00,vdr-12732,112.159.19.211,,25.0,,TCP/6,deny,20618445.0,23340422.0,SID937475,True,allow_office_apps,RU,VDR-12732,SID937475
FW000007970,2026-08-23 19:19:28+00:00,LPT-12542.corp.local,,,80.0,,17,allow,3107576.0,45525887.0,SID254504,False,block_tor_exit,,LPT-12542,SID254504
FW000019212,2026-09-07 16:33:00+00:00,VDR-10005,192.168.163.43,,22.0,80.0,tcp,allow,20524979.0,17871476.0,SID335762,False,allow_office_apps,United States,VDR-10005,SID335762
FW000004956,2026-08-05 20:05:40+00:00,VDR-11394,52.159.12.248,,3389.0,8443.0,TCP,allow,,9.0,SID531143,False,DENY_TELNET,,VDR-11394,SID531143
FW000010100,2026-08-06 12:34:37+00:00,WS-12337,,172.16.237.206,,135.0,6,deny,44010127.0,48244791.0,,False,MONITOR_DB_ACCESS,United States,WS-12337,
FW000000424,2026-08-07 03:35:54+00:00,ws-12913,,170.84.241.160,,53.0,tcp,allow,10245765.0,32039.0,sid639238,False,ALLOW_INTERNAL_DNS,RU,WS-12913,SID639238
FW000009792,2026-08-21 09:08:06+00:00,LPT-12951,192.168.188.85,192.168.110.6,80.0,3389.0,6,allow,11743248.0,23239715.0,sid706195,False,BLOCK_EXTERNAL_RDP,,LPT-12951,SID706195
FW000013186,2026-09-09 06:29:59+00:00,VDR-11265,,81.211.42.17,,25.0,UDP/17,deny,22995574.0,11572573.0,SID707580,False,ALLOW_WEB,United States,VDR-11265,SID707580
FW000017529,2026-09-04 14:48:00+00:00,LPT-11842,124.5.106.189,192.168.25.125,22.0,53.0,UDP,allow,30.0,13547876.0,,False,UNKNOWN,,LPT-11842,
FW000011267,,VDR-12095,,172.16.132.188,8443.0,135.0,TCP/6,allow,,0.0,sid890237,False,ALLOW_INTERNAL_DNS,United States,VDR-12095,SID890237
FW000013721,,VDR-10698.corp.local,,,443.0,1433.0,TCP,allow,15.0,43448846.0,SID254382,False,ALLOW_WEB,India,VDR-10698,SID254382
FW000027402,,LPT-10183,172.16.47.248,,135.0,,TCP/6,allow,13289567.0,49885990.0,,False,UNKNOWN,CN,LPT-10183,
FW000013210,2026-08-03 20:32:41+00:00,VDR-12218,192.168.14.27,,,135.0,tcp,allow,39304732.0,,SID770400,False,UNKNOWN,CN,VDR-12218,SID770400
FW000026987,2026-08-02 04:45:18+00:00,WS-12874.corp.local,89.183.221.141,176.192.189.228,443.0,3306.0,TCP,deny,46859974.0,22567252.0,SID464275,False,,unknown,WS-12874,SID464275
FW000026621,2026-08-12 19:44:31+00:00,LPT-12634.corp.local,,81.205.45.5,445.0,443.0,TCP/6,allow,30871570.0,20831007.0,SID436969,False,,IN,LPT-12634,SID436969
FW000014922,2026-08-01 03:45:00+00:00,WS-11711,172.16.196.39,72.207.246.231,22.0,,TCP/6,allow,21654775.0,44251759.0,SID992364,False,allow_office_apps,IN,WS-11711,SID992364
FW000006426,2026-08-15 08:13:00+00:00,VDR-10482,192.168.221.141,193.45.150.160,8443.0,22.0,tcp,allow,32.0,12818871.0,SID282487,False,block_tor_exit,,VDR-10482,SID282487
FW000028816,,LPT-11156,,122.69.111.61,80.0,22.0,6,allow,18.0,45148377.0,SID100947,False,block_tor_exit,India,LPT-11156,SID100947
FW000007476,2026-09-03 22:45:39+00:00,VDR-12075,,,1433.0,53.0,tcp,allow,1896224.0,4611336.0,,False,UNKNOWN,IN,VDR-12075,
FW000010884,2026-08-24 03:54:36+00:00,VDR-10736,,,22.0,445.0,tcp,deny,16505377.0,27061.0,SID603359,False,ALLOW_INTERNAL_DNS,unknown,VDR-10736,SID603359
FW000010557,2026-08-09 23:11:21+00:00,WS-10476,190.240.19.92,81.116.7.4,,,TCP/6,deny,49108319.0,32002037.0,SID381305,False,,IN,WS-10476,SID381305
FW000007919,2026-08-06 09:05:00+00:00,WS-11936,,95.95.44.149,,,tcp,deny,9.0,35.0,sid288467,True,ALLOW_INTERNAL_DNS,RU,WS-11936,SID288467
FW000005115,2026-09-09 17:39:44+00:00,lpt-11259,,,53.0,443.0,TCP,deny,41.0,26938568.0,SID720221,False,BLOCK_EXTERNAL_RDP,CN,LPT-11259,SID720221
FW000001617,2026-09-08 06:09:34+00:00,VDR-12893,216.237.162.72,189.28.52.148,,3389.0,TCP/6,allow,36958003.0,31330.0,SID872670,False,UNKNOWN,CN,VDR-12893,SID872670
FW000028756,,LPT-12250,,197.88.174.175,8443.0,1433.0,tcp,allow,38.0,44767243.0,SID736208,False,BLOCK_EXTERNAL_RDP,US,LPT-12250,SID736208
FW000020131,2026-08-19 02:45:11+00:00,LPT-11156,,49.144.107.164,135.0,1433.0,ICMP,allow,29871683.0,27287529.0,SID360727,False,ALLOW_INTERNAL_DNS,,LPT-11156,SID360727
FW000000937,2026-08-27 23:26:41+00:00,VDR-12706,,,,8443.0,UDP,deny,27859792.0,28.0,SID710702,False,block_tor_exit,US,VDR-12706,SID710702
FW000005223,2026-09-07 09:42:20+00:00,LPT-12135,192.167.240.74,,445.0,,TCP/6,allow,8886600.0,4866308.0,,False,,,LPT-12135,
FW000016554,2026-08-31 18:57:45+00:00,lpt-11753,,,3306.0,8443.0,ping,allow,2.0,49686498.0,SID190983,False,,US,LPT-11753,SID190983
