alert_id,detected_timestamp,resolved_timestamp,hostname,user_id,endpoint_product,alert_name,severity,status,description,file_path,process_name,sha256,assigned_to,device_criticality
EPA00005272,2026-08-15 22:14:02,,WS-12511,EMP12511,Windows Defender,Browser hijack attempt,LOW,IN_PROGRESS,Alert generated from heuristic engine. Possible false positive.,D:\Projects\scripts\cleanup.ps1,cmd.exe,1908badb164f8fda5a1a9f0a09428a848c14250c775dc1bacee0285d368528b4,,Critical
EPA00006436,2026-08-14 03:33:28,,VDR-12693,EMP12693,Defender,Unusual admin share access,HIGH,N,Threat detected after file download from external website.,C:\Windows\System32\drivers\etc\hosts,powershell.exe,,,
EPA00005488,2026-05-08 22:33:23,2026-08-10 03:33:23,VDR-10295,EMP10295,SentinelOne,Browser hijack attempt,HIGH,FALSE_POSITIVE,Endpoint protection detected suspicious activity on host.,C:\ProgramData\svc\agent.dll,cmd.exe,a86883cdf773b,unassigned,L
EPA00005711,2026-09-08 22:26:48,2026-09-13 19:26:48,LPT-10360,EMP10360,Quick Heal,Unauthorized USB,MEDIUM,New,Endpoint protection detected suspicious activity on host.,C:\Users\user\AppData\Local\Temp\cache.bin,unknown,2ee36e4cf4ff5b900a423fbb373d96115b48e7a3c08b20e9b4e82e247f90ad4b,soc.analyst1,LOW
EPA00006384,2026-08-08 00:00:00,2026-08-12 20:30:00,WS-11672,EMP11672,CrowdStrike,Ransomware Activity,MEDIUM,OPEN,Alert generated from heuristic engine. Possible false positive.,,msedge.exe,cb7603812d3a33170d27a046c5e07f5550a39584df20c2fcd5af149abef94c96,admin,M
EPA00004344,2026-08-16 19:54:15,2026-08-20 00:54:00,VDR-10740,EMP10740,Kaspersky,Unusual admin share access,LOW,New,Process attempted to access sensitive directory.,C:\Users\user\Desktop\salary.xlsx,,ca87586b2d0b9a276eb728e80db6c4186e5de14c1c81dd9364667702d302c368,incident.team,H
EPA00000034,2026-08-29 06:02:09,,LPT_11310,EMP11310,CrowdStrike,USB device blocked,MEDIUM,Resolved,Alert triggered by abnormal network connection.,,msedge.exe,0b3cf034347e885680d4fb990b7be3aa8e8ee381244646024f6ef189e5221049,soc.analyst2,Medium
EPA00000541,2026-08-12 04:24:00,2026-08-16 14:24:00,VDR-10796,EMP10796,McAfee,Keylogger suspected,LOW,R,Endpoint protection detected suspicious activity on host.,,excel.exe,3f8073b89751fceb20e7060e22e5fab0373296527f9bb64b7a17678ed10b4dc5,incident.team,MEDIUM
EPA00005712,2026-09-06 21:57:24,2026-09-11 01:57:24,WS-10866,EMP10866,Defender,Lateral movement detected,MEDIUM,WIP,Process attempted to access sensitive directory.,C:\Users\user\Desktop\salary.xlsx,msedge.exe,9f47473f0be1935599fd7e3adbda2eb017fafac0dc7af7565027d45ca3a61199,admin,High
EPA00002125,2026-08-30 12:51:12,2026-09-03 12:51:00,LPT-12300,EMP12300,SentinelOne,Unauthorized USB,MEDIUM,In Progress,Endpoint agent blocked execution. Review required.,C:\ProgramData\svc\agent.dll,chrome.exe,3f6c3c50a1f72c6f19d339c910d8c5929c41c2dd850c52c4d0cec43de470372a,,
EPA00001406,,2026-09-14 17:38:00,vdr-11559,EMP11559,Windows Defender,Trojan:Win32,CRITICAL,In Progress,User reported machine slowdown after popup. AV alert generated.,C:\Windows\Temp\update.tmp,winword.exe,,incident.team,Critical
EPA00000458,2026-08-29 10:56:29,2026-09-01 16:56:00,VDR-10917,EMP10917,CrowdStrike,Unauthorized USB,LOW,New,Process attempted to access sensitive directory.,C:\Users\user\AppData\Local\Temp\cache.bin,cmd.exe,5a1ffbf81b809a7b472f9d53e44523cef210ad4e20e5835e51dba8e56d1bf93b,unassigned,CRITICAL
EPA00006897,2026-08-25 20:56:55,2026-08-30 04:56:55,ws-10770,EMP10770,SYMANTEC,USB device blocked,HIGH,Unassigned,Process attempted to access sensitive directory.,C:\Windows\System32\drivers\etc\hosts,cmd.exe,,unassigned,
EPA00002808,,2026-09-09 02:34:38,LPT-10058,EMP10058,SentinelOne,MALWARE_DETECTED,LOW,Resolved,User reported machine slowdown after popup. AV alert generated.,C:\Users\Public\Downloads\invoice.exe,winword.exe,db1ab817edfa4a0a4290962999f02e8c4419e9dd618e3a29d636a704162b4e40,admin,L
EPA00005629,2026-08-10 04:27:02,2026-08-08 00:00:00,LPT-10852,EMP10852,SYMANTEC,Lateral movement detected,CRITICAL,CLOSED,Threat detected after file download from external website.,,cmd.exe,5c9a04c3b39f5664eaf53c743219449d25de318df77cbbc3111edcf135a4e345,,CRITICAL
EPA00005974,,2026-08-11 09:06:21,VDR-10990,EMP10990,Windows Defender,Suspicious PowerShell Execution,MEDIUM,O,Malicious file blocked. User notified. Need validation.,C:\Users\user\Desktop\salary.xlsx,python.exe,51de423872495feb0ed3d08a49e0ba60c43035f400bab8d4931f6bd0980ef30d,,High
EPA00000764,2026-08-30 13:02:00,2026-04-09 06:02:45,LPT-11554,EMP11554,Windows Defender,Unauthorized USB,CRITICAL,N,Alert triggered by abnormal network connection.,,chrome.exe,fb0adb1be2e3827887a25a39607a7f80,soc.analyst2,Critical
EPA00003460,,2026-08-24 15:02:05,VDR-11921,EMP11921,SentinelOne,MALWARE_DETECTED,LOW,Resolved,Endpoint agent blocked execution. Review required.,C:\Windows\System32\drivers\etc\hosts,msedge.exe,2fb509e4b24f49c54776757ec5ce1994b9a4,,
EPA00001058,2026-08-22 13:02:00,2026-08-26 05:02:16,WS-12912,EMP12912,Kaspersky,Keylogger suspected,LOW,RESOLVED,Threat detected after file download from external website.,C:\ProgramData\svc\agent.dll,powershell.exe,,,MEDIUM
EPA00000829,2026-08-15 16:09:20,2026-08-16 00:00:00,LPT-11107,EMP11107,Kaspersky,Suspicious PowerShell Execution,LOW,Investigating,Alert generated from heuristic engine. Possible false positive.,C:\Windows\System32\drivers\etc\hosts,,b9311893f7fa8aa540cba44b0f56d2974849031a4ab3d0597b4340a7b82390c5,incident.team,CRITICAL
EPA00004715,,,,EMP10907,McAfee,Keylogger suspected,LOW,O,Suspicious script execution observed. Logs attached.,C:\Users\user\AppData\Local\Temp\cache.bin,chrome.exe,b941aa057fd6d8939414a59e2799a3518b8987e6594ccea984d3d39860e938b2,soc.analyst1,
EPA00000223,2026-08-01 07:21:22,2026-08-04 10:21:22,WS-11865,EMP11865,CrowdStrike,ransomware_behavior,MEDIUM,Resolved,Multiple failed attempts to disable security agent.,C:\ProgramData\svc\agent.dll,cmd.exe,BACF5DF0A17A926FC5B1F247156D85BB98966965B0FD581DDF5EEF238B7F0DDD,,
EPA00002692,2026-09-01 07:39:47,2026-09-04 01:39:47,WS-11132,EMP11132,SentinelOne,Phishing URL blocked,HIGH,Resolved,Threat detected after file download from external website.,D:\Projects\scripts\cleanup.ps1,python.exe,,,HIGH
EPA00007411,2026-08-23 12:53:00,2026-08-26 00:53:22,WS-12327,EMP12327,McAfee,Lateral movement detected,MEDIUM,N,Endpoint agent blocked execution. Review required.,,unknown,B0D0275084283AA4F02B6F5019022BD8131E3A0E751A291BEA17CA8DB091C3EC,admin,Low
EPA00003847,2026-08-14 00:59:38,2026-08-17 21:59:38,LPT-12662,EMP12662,SYMANTEC,Unauthorized USB,HIGH,NEW,Process attempted to access sensitive directory.,C:\Windows\System32\drivers\etc\hosts,winword.exe,7ab3e656390a1830a7678451a91467c9912c9cd000bb2c6c54bc2e5bd527d398,unassigned,L
EPA00002523,,2026-08-13 19:20:00,LPT-10094,EMP10094,Quick Heal,Keylogger suspected,LOW,New,Alert triggered by abnormal network connection.,,winword.exe,345f95cc9101f875c3152f8ef53a088cc34e970db839d71d9d777e45152f78cb,soc.analyst1,Low
EPA00001747,2026-09-08 00:00:00,2026-09-12 11:11:00,VDR-11681,EMP11681,SentinelOne,Unauthorized USB,LOW,FALSE_POSITIVE,Malicious file blocked. User notified. Need validation.,C:\ProgramData\svc\agent.dll,explorer.exe,30d6770eb6d669694d31df93573384bd5659b3ca1899a65e8a0fcac8a1b043a1,soc.analyst1,H
EPA00002752,2026-09-09 07:13:00,2026-09-12 00:13:36,VDR-10940,EMP10940,Carbon Black,ransomware_behavior,LOW,Investigating,Threat detected after file download from external website.,E:\Backup\data.rar,powershell.exe,e447287619f5c6e28cadfa9e8af056b716e174277c50955a59aa2d286614250d,incident.team,M
EPA00000462,,2026-09-03 03:08:00,VDR-12844,EMP12844,Kaspersky,Suspicious PowerShell Execution,MEDIUM,Open,Alert generated from heuristic engine. Possible false positive.,,powershell.exe,4382206f354ca7,,LOW
EPA00000319,2026-08-30 00:00:00,,VDR-10040,EMP10040,Windows Defender,Trojan:Win32,HIGH,New,Malicious file blocked. User notified. Need validation.,C:\Windows\Temp\update.tmp,python.exe,,admin,M
EPA00001666,2026-08-28 14:09:19,2026-08-30 12:09:19,LPT-10646,EMP10646,Defender,Phishing URL blocked,MEDIUM,R,Process attempted to access sensitive directory.,C:\Users\Public\Downloads\invoice.exe,excel.exe,0b118306952a2e40e5ca7aa285b3544fe8153e246e5609df9b3bf4da82cd210f,incident.team,Critical
EPA00003904,2026-08-25 00:00:00,,LPT-10897,EMP10897,Defender,Unusual admin share access,HIGH,Unassigned,Suspicious script execution observed. Logs attached.,E:\Backup\data.rar,chrome.exe,bb2a3f6ff9488a55034b08a47194c76471b0cc4a0737ad919a5deff1fd5a9176,,LOW
EPA00005961,,2026-08-06 00:00:00,WS-12514,EMP12514,McAfee,ransomware_behavior,LOW,Active,Malicious file blocked. User notified. Need validation.,,msedge.exe,,unassigned,CRITICAL
EPA00001177,,,WS-11682,EMP11682,CrowdStrike,Browser hijack attempt,LOW,N,Alert generated from heuristic engine. Possible false positive.,C:\Users\Public\Downloads\invoice.exe,,1ac851db0c82d807a9a0fc89aaccf14dd6cd10f91,soc.analyst1,CRITICAL
EPA00002261,2026-08-02 05:37:59,,LPT-11683,EMP11683,Carbon Black,USB device blocked,LOW,OPEN,Endpoint protection detected suspicious activity on host.,C:\Windows\System32\drivers\etc\hosts,chrome.exe,8ba739e87e8adb3740f36ebb5f6e9fa31ba310063c2286287015c2dd9137131e,,High
EPA00002364,2026-09-08 20:18:54,2026-08-11 21:18:00,LPT_12761,EMP12761,CrowdStrike,Credential dumping attempt,MEDIUM,OPEN,Endpoint agent blocked execution. Review required.,,excel.exe,1afdd5a9fc7bc73533f5d706ccb853ff34c2380d0f965e86b96dd2ba998b2e30,incident.team,
EPA00007204,2026-02-09 23:04:57,2026-09-04 10:04:57,WS-12356,EMP12356,Defender,Credential dumping attempt,MEDIUM,Open,Process attempted to access sensitive directory.,C:\Users\user\Desktop\salary.xlsx,unknown,9BE4E05C20EE47224AE4A1E244DCEC663BFBDDE152870D658F17C64C85BC1177,admin,H
EPA00006267,2026-09-04 11:55:00,,VDR-11629,EMP11629,Defender,Ransomware Activity,LOW,New,User reported machine slowdown after popup. AV alert generated.,C:\ProgramData\svc\agent.dll,winword.exe,,soc.analyst1,
EPA00002200,2026-08-11 00:00:00,,,EMP12868,Quick Heal,Browser hijack attempt,MEDIUM,New,Multiple failed attempts to disable security agent.,E:\Backup\data.rar,python.exe,45e414c1a4c653b037d617c3a30ea74fe1b19a382b6f95ed196bd32b12e11dba,incident.team,Critical
EPA00006974,2026-09-08 01:32:28,2026-09-08 03:32:00,LPT-11884,EMP11884,SentinelOne,Credential dumping attempt,CRITICAL,Unassigned,Threat detected after file download from external website.,C:\Users\Public\Downloads\invoice.exe,msedge.exe,04569534b074a9d41b,admin,L
EPA00001672,2026-09-07 20:25:00,,WS-11828,EMP11828,Defender,suspicious_powershell,MEDIUM,FP,Process attempted to access sensitive directory.,C:\Windows\Temp\update.tmp,cmd.exe,,,L
EPA00000731,2026-03-09 09:51:16,2026-09-08 07:51:16,,EMP10364,Defender,MALWARE_DETECTED,LOW,Closed,User reported machine slowdown after popup. AV alert generated.,C:\Users\user\Desktop\salary.xlsx,msedge.exe,,incident.team,
EPA00002392,2026-08-23 21:53:00,2026-08-25 03:53:00,LPT-12183.corp.local,EMP12183,McAfee,Suspicious PowerShell Execution,MEDIUM,Not Malicious,Endpoint protection detected suspicious activity on host.,D:\Projects\scripts\cleanup.ps1,powershell.exe,,,LOW
EPA00006125,,,WS-12356,EMP12356,SentinelOne,MALWARE_DETECTED,HIGH,FALSE_POSITIVE,User reported machine slowdown after popup. AV alert generated.,C:\Windows\System32\drivers\etc\hosts,excel.exe,,,M
EPA00007289,2026-08-14 07:34:40,,WS-11315.corp.local,EMP11315,McAfee,Browser hijack attempt,CRITICAL,NEW,Endpoint protection detected suspicious activity on host.,C:\Windows\System32\drivers\etc\hosts,powershell.exe,e7bed2ffbd07a0ff94776fa6b2e8d80340fb7ff3a9cdcaf83d3e372f03295f50,incident.team,H
EPA00006379,2026-09-01 00:00:00,2026-09-04 03:01:38,LPT-11335,EMP11335,SentinelOne,suspicious_powershell,MEDIUM,OPEN,Multiple failed attempts to disable security agent.,,unknown,17F5F0EF53D7D80B308D9CC21CF3EA800A3E623AE3F90D8F5AACBAA88E86E99C,,H
EPA00000626,2026-08-01 00:00:00,2026-07-30 00:00:00,WS_10945,EMP10945,Kaspersky,Unauthorized USB,LOW,False Positive,Endpoint protection detected suspicious activity on host.,C:\Windows\Temp\update.tmp,explorer.exe,f5c9706f6e9a0073ab4ba17e7c6cc2a27fb94dbb62043dedf2aa069bceb9d8bc,incident.team,Critical
EPA00004751,2026-08-19 23:36:06,,lpt-11674,EMP11674,McAfee,suspicious_powershell,MEDIUM,Investigating,Process attempted to access sensitive directory.,C:\ProgramData\svc\agent.dll,python.exe,7c62729a31ed5d2e1bfac0d28a9f7ca1d151004c33631e7118d634b3f3d52ad3,,L
EPA00005185,2026-09-08 15:59:18,2026-09-11 13:59:00,LPT-12322,EMP12322,Quick Heal,Unusual admin share access,HIGH,Active,User reported machine slowdown after popup. AV alert generated.,C:\ProgramData\svc\agent.dll,,30068703ED64470E8074D609F385866642588584BB1834FC880983C08D4F7880,incident.team,
EPA00006353,,2026-08-09 20:42:29,WS-10933,EMP10933,Quick Heal,Malware detected,MEDIUM,CLOSED,Malicious file blocked. User notified. Need validation.,C:\Users\Public\Downloads\invoice.exe,explorer.exe,,,MEDIUM
EPA00006544,2026-04-08 10:14:47,2026-08-08 00:00:00,LPT-10745,EMP10745,McAfee,Malware detected,HIGH,Closed,Multiple failed attempts to disable security agent.,D:\Projects\scripts\cleanup.ps1,explorer.exe,B8BE583420EA26A4D8C4D11E75F38834B09358B765B765E8CBCAD18A7F97C666,soc.analyst1,M
EPA00001941,2026-08-10 18:01:45,,LPT-12061,EMP12061,Kaspersky,USB device blocked,CRITICAL,FALSE_POSITIVE,Alert generated from heuristic engine. Possible false positive.,,cmd.exe,e516f6d0eb76efa945fe5494d00b0473319530d5e9ca65f9b39c77d4e6866f86,unassigned,H
EPA00002863,2026-08-02 21:19:23,2026-08-02 06:19:23,WS-12544,EMP12544,Windows Defender,MALWARE_DETECTED,MEDIUM,OPEN,Suspicious script execution observed. Logs attached.,C:\Users\user\AppData\Local\Temp\cache.bin,cmd.exe,7dcfc79b90e2edb2478fda25c9b1,admin,Critical
EPA00003348,2026-08-18 17:06:55,,,EMP11714,SentinelOne,Unauthorized USB,MEDIUM,RESOLVED,Suspicious script execution observed. Logs attached.,C:\Users\user\AppData\Local\Temp\cache.bin,chrome.exe,ea4b4c0ab8253702660be4de801793387d30ef7352306fbed128e9cde79c9010,,Critical
EPA00003756,2026-08-07 22:18:19,2026-08-09 05:18:00,WS-12720,EMP12720,Carbon Black,Unauthorized USB,HIGH,New,Suspicious script execution observed. Logs attached.,C:\Windows\System32\drivers\etc\hosts,chrome.exe,622303be663b823a5b4f49ac5cbdcf9099e92a41e95a838041,,High
EPA00006863,2026-08-07 10:17:48,2026-08-07 12:17:48,WS-11777.corp.local,EMP11777,Carbon Black,Browser hijack attempt,MEDIUM,Unassigned,Multiple failed attempts to disable security agent.,C:\Windows\Temp\update.tmp,excel.exe,019FA705724A31AC3A85D3F18B78C74725604B93165A3B108A3F23F803F13038,,L
EPA00005458,2026-08-31 05:21:21,2026-08-31 05:21:21,VDR-10772,EMP10772,McAfee,MALWARE_DETECTED,MEDIUM,RESOLVED,Alert generated from heuristic engine. Possible false positive.,C:\Users\user\AppData\Local\Temp\cache.bin,powershell.exe,0bbeb87e7f9139b1a3bebc6571a3928ebd52115d6bc678016871c4456f4b52e2,,MEDIUM
EPA00007636,2026-02-08 22:49:16,2026-08-07 07:49:00,VDR-10740,EMP10740,CrowdStrike,Ransomware Activity,MEDIUM,Unassigned,Endpoint protection detected suspicious activity on host.,,python.exe,,admin,LOW
EPA00000928,2026-08-06 06:03:39,2026-08-09 00:00:00,,EMP11073,Windows Defender,Ransomware Activity,LOW,FALSE_POSITIVE,Threat detected after file download from external website.,,,6656cc9d31415c4ada257da0b23ff4b4f035e2932e75dd7da745cfcccb35e4a7,soc.analyst1,
EPA00004588,2026-08-20 03:27:15,2026-08-21 08:27:15,VDR-10961,EMP10961,Kaspersky,Keylogger suspected,HIGH,O,Threat detected after file download from external website.,C:\Users\user\AppData\Local\Temp\cache.bin,cmd.exe,324f1160dd6bccc01abde0257be00379617b81ebfe523ba95333ce9b80ba1f66,,High
EPA00003097,2026-01-09 08:28:35,2026-09-03 22:28:00,WS-11009,EMP11009,SentinelOne,Ransomware Activity,MEDIUM,Active,Alert triggered by abnormal network connection.,E:\Backup\data.rar,python.exe,,,
EPA00004225,2026-08-02 15:54:06,,LPT-12208,EMP12208,Kaspersky,USB device blocked,LOW,O,Malicious file blocked. User notified. Need validation.,,,f34338a99d172c7d7dfc3e1addebbf6c29b819b569178c79cefa00abfbca11d7,admin,High
EPA00001011,2026-09-03 00:00:00,,WS-12009,EMP12009,Carbon Black,Suspicious PowerShell Execution,LOW,Open,Endpoint agent blocked execution. Review required.,C:\Windows\System32\drivers\etc\hosts,chrome.exe,20205897f0fef5fab94a6aa3fb6fc0bf41149e3e46f99678fa9c541a6d422736,soc.analyst1,MEDIUM
EPA00001923,,,ws-10148,EMP10148,Quick Heal,suspicious_powershell,CRITICAL,FP,Threat detected after file download from external website.,C:\Users\user\Desktop\salary.xlsx,chrome.exe,6b181afb6d1e681c1613359ee23110f0bbdb70de8605e52f68df0c498ea0aad0,admin,MEDIUM
EPA00007021,2026-09-05 22:31:00,2026-08-09 20:31:47,VDR-12210,EMP12210,CrowdStrike,Malware detected,MEDIUM,WIP,Multiple failed attempts to disable security agent.,,msedge.exe,06969f695080ed7ba6e3e61b33e85ad00ab0ce517b92a09031722f74d96870cd,,HIGH
EPA00004707,2026-09-07 00:00:00,2026-10-09 19:23:49,ws-11043,EMP11043,SYMANTEC,Browser hijack attempt,MEDIUM,Unassigned,Endpoint agent blocked execution. Review required.,,explorer.exe,69aaa9ed0ae5b0b667ed48cd4fc4f623d1283613bac8805306b6833ef665d097,soc.analyst1,MEDIUM
EPA00003002,,,VDR_12836,EMP12836,CrowdStrike,MALWARE_DETECTED,HIGH,Not Malicious,Malicious file blocked. User notified. Need validation.,C:\Users\user\AppData\Local\Temp\cache.bin,winword.exe,,,
EPA00000316,2026-08-11 00:00:00,2026-08-12 00:00:00,WS_12671,EMP12671,Quick Heal,Suspicious PowerShell Execution,MEDIUM,NEW,Alert triggered by abnormal network connection.,,unknown,e340223b4b2c5e5e29050948300b7289bdb7aa0dd5d5a4cd9598653d43d2c3ca,soc.analyst1,H
EPA00001980,2026-05-09 10:45:05,,WS-12274,EMP12274,SentinelOne,Suspicious PowerShell Execution,MEDIUM,OPEN,Alert triggered by abnormal network connection.,E:\Backup\data.rar,msedge.exe,76943acaef478b4c4261b66a685841c765c2b1107fd04d95a2ae7a7c08196cd4,admin,
EPA00005750,2026-05-08 18:42:22,2026-08-06 19:42:22,LPT-11840.corp.local,EMP11840,SentinelOne,Browser hijack attempt,LOW,IN_PROGRESS,Endpoint protection detected suspicious activity on host.,C:\Windows\Temp\update.tmp,winword.exe,,,L
EPA00001415,,2026-08-09 11:16:00,LPT-11220,EMP11220,Defender,Browser hijack attempt,MEDIUM,Not Malicious,User reported machine slowdown after popup. AV alert generated.,,excel.exe,,,High
EPA00001006,2026-08-09 00:37:43,2026-08-09 00:00:00,LPT-10479.corp.local,EMP10479,CrowdStrike,Credential dumping attempt,MEDIUM,OPEN,User reported machine slowdown after popup. AV alert generated.,D:\Projects\scripts\cleanup.ps1,winword.exe,82f80d5bbfd5f9d99d446ad5ea125bf60df83add76dfc8e1b1a2915bc8e8c8f1,,L
EPA00002228,2026-08-15 05:54:37,2026-08-17 00:00:00,WS-10982,EMP10982,SentinelOne,Credential dumping attempt,CRITICAL,New,Suspicious script execution observed. Logs attached.,,,206a3d79705a74cbd9cd26340673f5653a71467b2bf81ed,unassigned,CRITICAL
EPA00004824,2026-08-05 00:00:00,2026-08-06 16:56:06,LPT-12060,EMP12060,SentinelOne,USB device blocked,MEDIUM,R,Alert generated from heuristic engine. Possible false positive.,,cmd.exe,9f944399fdb20c5715e266c37946a1056e9f03144496d2489a40039b8f5ec4fa,admin,L
EPA00003195,2026-08-03 10:51:10,2026-08-04 06:51:10,VDR-12225,EMP12225,SYMANTEC,Ransomware Activity,LOW,FP,Malicious file blocked. User notified. Need validation.,C:\ProgramData\svc\agent.dll,chrome.exe,ff5d726bc8cc8561841eb6a7a2a040a0c290a51008a9b5599961508835fb2141,unassigned,L
EPA00002639,2026-08-14 06:43:47,2026-08-15 19:43:47,WS-10686,EMP10686,McAfee,Unauthorized USB,MEDIUM,In Progress,Alert triggered by abnormal network connection.,C:\Users\user\AppData\Local\Temp\cache.bin,chrome.exe,,incident.team,MEDIUM
EPA00002179,,2026-09-09 00:00:00,ws-10115,EMP10115,SYMANTEC,Browser hijack attempt,MEDIUM,Unassigned,Endpoint protection detected suspicious activity on host.,C:\ProgramData\svc\agent.dll,msedge.exe,cd38ed4f7750062fdd52e635fccecbefc243db95f04,,CRITICAL
